在2014年的时候呢开始这个做这个数字货币的这个项目，成立了项目组。	在二零一四年的时候呢开始这个做这个数字货币的这个项目，成立了项目组。
深圳的大街小巷悬挂了超过10万面国旗。	深圳的大街小巷悬挂了超过十万面国旗。
强化组织保障等6个方面，要求进一步营造全社会尊师重教的浓厚氛围。	强化组织保障等六个方面，要求进一步营造全社会尊师重教的浓厚氛围。
然而在中小企业超过90%的温州今年前三季度企业的研发投入占比位居浙江省第一。	然而在中小企业超过百分之九十的温州今年前三季度企业的研发投入占比位居浙江省第一。
如今在温州这样的产业创新综合体遍地开花，涵盖精密模具、印刷软件和信息智能仪器等32个领域。	如今在温州这样的产业创新综合体遍地开花，涵盖精密模具、印刷软件和信息智能仪器等三十二个领域。
企业每月就有10多款新产品上市。	企业每月就有十多款新产品上市。
今年前三季度温州技改投资规上企业研发高技术企业投资增速都超过20%。	今年前三季度温州技改投资规上企业研发高技术企业投资增速都超过百分之二十。
第4次修订的中国新闻工作者职业道德准则今天向社会公布。	第四次修订的中国新闻工作者职业道德准则今天向社会公布。
该准则共7条31款，突出指导性，强调实践性，体现时代性。	该准则共七条三十一款，突出指导性，强调实践性，体现时代性。
通知明确要以国家级贫困县，特别是14个集中连片特困区内的深度贫困县为重点，开展送文化下基层活动。	通知明确要以国家级贫困县，特别是十四个集中连片特困区内的深度贫困县为重点，开展送文化下基层活动。
通知要求所有国家级贫困县2020年上半年至少开展一场活动，基本实现全覆盖。	通知要求所有国家级贫困县二零二零年上半年至少开展一场活动，基本实现全覆盖。
2017年澳门被联合国评为创意美食之都。	二零一七年澳门被联合国评为创意美食之都。
全年700场的国际演出与展览，正在为澳门打造与世界接轨的艺术展示平台。	全年七百场的国际演出与展览，正在为澳门打造与世界接轨的艺术展示平台。
独具特色的文化为我们发展注入新动力。20年来，港澳旅客增长了4倍。	独具特色的文化为我们发展注入新动力。二十年来，港澳旅客增长了四倍。
2018年在澳门举办的会展数量超过1400场，成为澳门不断增长的新兴产业。	二零一八年在澳门举办的会展数量超过一千四百场，成为澳门不断增长的新兴产业。
今天是12月15号星期日。	今天是十二月十五号星期日。
本台消息12月16号出版的第24期求是杂志。	本台消息十二月十六号出版的第二十四期求是杂志。
每年有6500多名群众直接参与了防护类的建设管理。	每年有六千五百多名群众直接参与了防护类的建设管理。
雅江林业项目每年为群众增收2800多万元。	雅江林业项目每年为群众增收两千八百多万元。
在山谷间形成了一条平均宽度1800多米，长达160公里的绿色长廊。	在山谷间形成了一条平均宽度一千八百多米，长达一百六十公里的绿色长廊。
李谦，原名李荣光，1909年出生于湖南醴陵县城。	李谦，原名李荣光，一九零九年出生于湖南醴陵县城。
1924年春李谦和左权等同学离开家乡。	一九二四年春李谦和左权等同学离开家乡。
如今西藏山南市雅江沿岸建成防护林面积达45万亩。	如今西藏山南市雅江沿岸建成防护林面积达四十五万亩。
1929年李谦参与组织百色起义，任中国工农红军第七军一纵队司令员。	一九二九年李谦参与组织百色起义，任中国工农红军第七军一纵队司令员。
1930年4月底，他率部参加了攻克黔东荣江县城的战斗。	一九三零年四月底，他率部参加了攻克黔东荣江县城的战斗。
他指挥部队英勇反击，打退了8次进攻。在这次战斗中李谦壮烈牺牲，年仅22岁。	他指挥部队英勇反击，打退了八次进攻。在这次战斗中李谦壮烈牺牲，年仅二十二岁。
李陵事业成功获评湖南省2018届文明城市。	李陵事业成功获评湖南省二零一八届文明城市。
1931年2月3日，李谦带领的部队在广东乳源梅花村被国民党军包围。	一九三一年二月三日，李谦带领的部队在广东乳源梅花村被国民党军包围。
12月14号到20号，中央依法治国办将对河北、山西、浙江等8省展开实地督查。	十二月十四号到二十号，中央依法治国办将对河北、山西、浙江等八省展开实地督查。
在第4届世界考古论坛上，西汉海昏侯墓的考古发掘获得重大田野考古发现奖，成为唯一入选的中国项目。	在第四届世界考古论坛上，西汉海昏侯墓的考古发掘获得重大田野考古发现奖，成为唯一入选的中国项目。
全县长约74公里，共设15个客运站，设计时速140公里每小时。	全县长约七十四公里，共设十五个客运站，设计时速一百四十公里每小时。
迄今已出土1万余件套文物。	迄今已出土一万余件套文物。
诈骗团伙藏匿在越南现港、市，利用网络刷单进行诈骗，先后作案1400多起。	诈骗团伙藏匿在越南现港、市，利用网络刷单进行诈骗，先后作案一千四百多起。
中越两国警方统一行动，一举捣毁多个窝点，抓获涉案的三个团伙32人。	中越两国警方统一行动，一举捣毁多个窝点，抓获涉案的三个团伙三十二人。
文化节目一堂，好课今晚在央视综艺频道播出第5期。	文化节目一堂，好课今晚在央视综艺频道播出第五期。
经过近半年侦查，广西桂林警方日前将21名网络刷单诈骗嫌疑人从越南押解回国。	经过近半年侦查，广西桂林警方日前将二十一名网络刷单诈骗嫌疑人从越南押解回国。
针对伊拉克近几个月来持续的示威活动，联合国驻伊拉克援助团14号发表联合国安理会的媒体声明说。	针对伊拉克近几个月来持续的示威活动，联合国驻伊拉克援助团十四号发表联合国安理会的媒体声明说。
菲律宾南部棉兰老岛南达沃省今天下午发生里氏6.9级地震，随后又发生了多次余震。	菲律宾南部棉兰老岛南达沃省今天下午发生里氏六点九级地震，随后又发生了多次余震。
14号俄罗斯北极号核动力破冰船返回位于圣彼得堡的波罗的海造船厂码头，结束为期两天的首次航行试验。	十四号俄罗斯北极号核动力破冰船返回位于圣彼得堡的波罗的海造船厂码头，结束为期两天的首次航行试验。
明年5月北京号将正式首航。北京号是当前世界上动力最强的破冰船之一。	明年五月北京号将正式首航。北京号是当前世界上动力最强的破冰船之一。
联合国大会13号投票决定，将联合国近东巴勒斯坦难民救济和工程处的任务期限延长三年至2023年6月。	联合国大会十三号投票决定，将联合国近东巴勒斯坦难民救济和工程处的任务期限延长三年至二零二三年六月。
近东救济工程处主要负责向生活在约旦河西岸加沙地带等地的500多万巴勒斯坦难民提供人道主义救助。	近东救济工程处主要负责向生活在约旦河西岸加沙地带等地的五百多万巴勒斯坦难民提供人道主义救助。
农历11月20，欢迎收看新闻联播节目。	农历十一月二十，欢迎收看新闻联播节目。
到2020年我国现行标准下，农村贫困人口实现脱贫是党对人民的庄严承诺。	到二零二零年我国现行标准下，农村贫困人口实现脱贫是党对人民的庄严承诺。
